id,type,text1,text2,text3,notes
sex_shepherd_sex,SHIP,"The Ko Combine r450 ""Shepherd"" has been extensively remodeled by the corporation for their mining operations. The shield projector has been replaced with an archaic damper system and the flight deck has been expanded to field standard mining drones. The ship is known to be a reliable and rugged workhorse and is a staple sight in resource rich asteroid belts.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
sex_whiskeypete_sex,SHIP,"The Whiskey Pete hull was quickly purchased in bulk by the corporation. The base hull, already being a dedicated mining and salvage rig, only needed a few modifications to fit the needs of the company. Addition of small weapon mounts to better fend off pirates and marauders, and the installation of bulky ablative armor plating as per the company's standard doctrine. The result is an imposing, if lumbering, hull that can support mining and salvage operations and survive long enough to bring the wealth back home.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
sex_myriad_sex,SHIP,"The Myriad, a relic from the explosive expansion of the Domain, is an outdated design only fielded by the faithful deacon-captains of the Luddic Church. Still, the sheer flight deck space and raw firepower of the Myriad is unrivaled and its durability has seen a number of private and public militaries seek to re-adopt the Myriad. The corporation, eager to expand their market share, quickly produced a variant as a platform for mining and salvaging operations. The frontal weapon batteries have been replaced with an array of missile launchers and the cargo hold has been expanded to store vast quantities of ore, metals and whatever riches can be found in the depths of space.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
sex_colossus_sex,SHIP,"The Colossus was first adapted for war by Pather militants, but the corporation soon followed their lead. An array of forge-vats have been installed throughout the ship to manufacture mining drones in the field and the hull itself has been expanded to accommodate missile batteries. The result is an imposing and robust mining rig.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
sex_venture_sex,SHIP,"Tough, dependable and not overly expensive, Venture-class cruisers were quickly adopted into the company's ranks after a large number were bought from the Hegemony-controlled Ko Combine. The missile hardpoints of the ship have been upsized to provide an impressive volume of ordnance and the outdated mining pods have been replaced with more modern SEx Co. designs. The result is a bulky cruiser, capable of laying down a staggering volume of missiles.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
sex_enforcer_merc,SHIP,"This variant of the Enforcer-class is a testament to the SEx Co.'s ""bulwark doctrine"" and was designed to serve as a cheap and capable combat platform. The ""Orion Drive"" system, being one of the few systems that the corporation can independently manufacture, has been installed to provide unmatched mobility for its class.

The mercenary arm of SEx Co, known as Stingtail Gunsels, field a number of combat ships with radical design philosophies. These vessels are designed to maximize their offensive capability, trading away many amenities and systems in the process. The iconic glitter livery of the Gunsels has become a symbol of recklessness and courage.",,,
sex_eradicator_merc,SHIP,"The design blueprints of the Eradicator were obtained by the corporation after a daring raid against an independent planet long before the peace accord was signed with the Hegemony. The design was then modified to maximize its potential. The shield projectors were replaced with an accelerated ammo feeder and the ""Orion Drive"" system, being one of the few systems that the corporation can independently manufacture, has been installed to provide unmatched mobility for its class.

The mercenary arm of SEx Co, known as Stingtail Gunsels, field a number of combat ships with radical design philosophies. These vessels are designed to maximize their offensive capability, trading away many amenities and systems in the process. The iconic glitter livery of the Gunsels has become a symbol of recklessness and courage.",,,
sex_vanguard_merc,SHIP,"The SEx Co. variant of the Vanguard is a remarkably capable combat frigate. The design was quickly adopted into the Gunsel ranks when shipwrights of the company realized its design was ideal for the company's mercenary force. The ship was cheap, dependable, and was able to hold its own against elite frigates of the time. The hull was quickly fitted with ablative armor, painted with the characteristic glitter livery and pressed into service.

The mercenary arm of SEx Co, known as Stingtail Gunsels, field a number of combat ships with radical design philosophies. These vessels are designed to maximize their offensive capability, trading away many amenities and systems in the process. The iconic glitter livery of the Gunsels has become a symbol of recklessness and courage.",,,
sex_retribution_merc,SHIP,"The design blueprints for the Retribution hull were acquired by SEx Co. shortly before the start of the First AI War.  The shipwrights of the time were unsatisfied with the basic design but recognized the immense potential of the ""Orion Drive"" technology. After a few years and many failed prototypes, the company was able to develop a viable iteration of the Retribution hull with an extensive array of hardpoints and ablative armor. The new design was christened ""Padishah"", the title of some distant monarch of a forgotten land, a testament to the ship's regal presence and its status as the pinnacle of the company's shipbuilding capabilities.

The mercenary arm of SEx Co, known as Stingtail Gunsels, field a number of combat ships with radical design philosophies. These vessels are designed to maximize their offensive capability, trading away many amenities and systems in the process. The iconic glitter livery of the Gunsels has become a symbol of recklessness and courage.",,,
sex_brawler_merc,SHIP,"The Brawler was adopted by the mercenary arm of the corporation to beef up system police forces and port authority security. The removal of the ship's shield projector gave just enough room for the additional missile racks required to upscale the ship's weapon mounts and the shipwrights were able to incorporate the corporation's signature ablative armor into the design. The design is the backbone of the mercenary forces of the company.

The mercenary arm of SEx Co, known as Stingtail Gunsels, field a number of combat ships with radical design philosophies. These vessels are designed to maximize their offensive capability, trading away many amenities and systems in the process. The iconic glitter livery of the Gunsels has become a symbol of recklessness and courage.",,,
sex_boreblaster,WEAPON,"A superheavy mining blaster capable of delivering a burst of pulverizing bolts of energy at close range. Desperate mercenaries, miners, and salvage operators have been known to mount this weapon on bulked-up frames to give them a bit more of an edge in their line of work.",,,
sex_nav_drone,SHIP,"Unarmed shuttles used to transfer personnel, supplies, and small cargo as well as assisting larger vessels with navigation.",,,
dynamic_stabilizer,SHIP_SYSTEM,Various redundancies and reserves allow the ship's energy systems to be briefly pushed beyond its limits.,,,
sex_erubetie,SHIP,"A heavy weapons package compliments the phase technology built into this ship. An array of redundancies allows the Erubetie to safely overexert its systems and a robust flux grid ensures the weapon systems stay online.
Certain unnerving psychological phenomena have been reported by sensitive crew members after enduring many rapid phase-shifts in combat conditions. Domain Navy reports on the subject were never declassified and are thought to have been lost since the Collapse.",,,
sex_grandine,SHIP,"A stealth freighter which audaciously employs phase technology to support covert fleet operations, the Grandine is an unarmed and lightly armored freighter designed to escort the elite raider fleets of the Tri-Tachyon corporation. These fleets were infamously named 'sensor ghosts' as their extensive use of phase technology made them almost invisible to most fleet sensors.

The Grandine, according to reports dating back to the Second AI War, has had issues with entire cargo decks being rearranged in unforeseen ways during phase-shifts with little to no explanation. Shipwrights would blame faulty sensors and admirals would blame lazy spacers. The truth behind these accidents, or even whether these accidents actually happened, are still unknown.",,,
sex_amphisbaena,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. So the official histories say.

The Amphisbaena was developed as a dedicated carrier platform from which swarms of autonomous fighter craft could be deployed. The design employs gross causality violating technology to rapidly 'pull' any deployed fighters back to the mothership for rearmament, resupply, and redeployment. The lack of any human pilots onboard allows for an unparalleled amount of fighter craft to be deployed by a single warship.",,,
sex_frederica,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. So the official histories say.

A dedicated missile support platform, the Frederica-class forgoes standard energy armaments in favor of an array of missile mounts and the hardware to support said weapons. Vast internal magazines allow this design to sustain a lengthy barrage of explosive death and destruction.",,,
sex_martinet,SHIP,"The Martinet was designed as a reliable and inexpensive destroyer to beef up the naval presence of fringe worlds and small colonies. While its armaments are quite lacking, the Martinet is a sturdy ship, and its cheap price tag and strong armor make it popular among privateers and planetary defense militias. The Church, notably, has been known to outfit these vessels with a variety of religious icons and paraphernalia to serve as escorts for the many pilgrim flotillas that travel throughout the Sector.",,,
sex_machinery,CUSTOM,"An array of semi-autonomous manufacturies sit in low orbit above $market. These fabricators are a testament to the unfathomable industrial might of the Domain. A handful of droneports, scattered throughout the volume, act as distribution hubs for the massive amount of materials and products passing through the system.",,,
sex_hypersat,CUSTOM,"A makeshift array of satellites and sensors used to monitor and map hyperspace topography sits in orbit. The Eridani-Utopia Corporation, still clinging to the last remnants of their former glory, use the data gathered here to predict the future movements of slipstreams and hyperspace currents.",,,
orthrus,CUSTOM,"This cold, rocky world is home to what remains of the Eridani-Utopia corporation. The company charter bought the administration rights to the planet from the Hegemony shortly after the fall of Qaras, and since then, the survivors have turned the system into a thriving, if somewhat desolate, survey and mining colony.",Orthrus,"Rocky outcrops and canyons cover the landscape. What little of humanity's touch remains are the mining and processing operations dotting the horizon. A central city, built into the side of the largest mountain on the planet, is surrounded by the corporate headquarters and private landing pads of the Eridani-Utopia Corporation.",
sex_broodmother,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. So the official histories say.

Conventional fleet dynamics dictate that a number of smaller warships be kept in a fleet for a number of reasons. Their utility, be it for escort or logistic duties, is vital for the survival of the larger capital ships. However, smaller hulls simply do not have the armor, tonnage, and armament potential to match their larger counterparts and are more likely to be destroyed in combat. No logistics chain can support an infinite amount of smaller hulls and the loss of smaller hulls is thus not sustainable. The Broodmother design, in its purest sense, attempts to address this issue by simply building entire frigates during the course of combat. Being autonomous drones with no need for human crew, they can be sacrificed at a rate which no conventional navy can keep up. Any losses can be quickly replaced as long as the autofabs are fed with the raw material needed for such rapid production.

The Broodmother-class represents the epitome of self-reliance and unwavering efficiency. Its silent presence commands both awe and terror, reminding all who encounter it of the fateful conflict that shaped the present state of the sector.",,,
sex_GlimmerBay,WEAPON,A micro-autofab capable of rapidly producing autonomous frigates during combat. Assembled ships are accelerated out of the assembly bay into combat.,,,
sex_LumenBay,WEAPON,A micro-autofab capable of rapidly producing autonomous frigates during combat. Assembled ships are accelerated out of the assembly bay into combat.,,,
sex_broodmother_main,SHIP_SYSTEM,A micro-autofab capable of rapidly producing autonomous frigates during combat. Assembled ships are accelerated out of the assembly bay into combat.,,,
sex_prot_one,SHIP,"A hybridized mess of a hull that was cobbled together from various salvaged hulls and components. Entire decks are held up with scaffolding and makeshift bulkheads while the superstructure creaks ominously in even the gentlest of accelerations. Several phase coils, ripped from a Doom-class Phase Cruiser, somehow generate a rudimentary phase field and even allow the ship to dive into p-space.",,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_prot_two,SHIP,"This insane modification of the old Vanguard design, christened Filo by Rosalina who designed it, has no business staying together and certainly has no right to move, but by the grace of Ludd (or the sheer dumb luck of its designer) it somehow manages both. Rosalina's ambitions far exceed her skills as an engineer, which have yet to advance past a basic understanding of what a flux capacitator is, and Filo is the result.",,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_prot_three,SHIP,"This ship is a monstrosity that would make Ludd faint in horror. This ""reimagining"" of a Melpomene-class Cruiser takes the original's ""Temporal Shell"" system to new and disgusting levels of causality violation. In a spark of brilliance, Rosalina has managed to create a self-feeding feedback loop within the system. As the temporal dilation of the system grows, the resulting increase in the flow of entropy through the shell is used to feed the loop, which further increases the temporal dilation and effectively makes time stop around the ship.",,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_prot_four,SHIP,"The Grande Dame is an improvised ''mothership'' capable of assembling and deploying frigates in combat. Significant hull space is dedicated to an integrated autofab capable of churning out barely spaceworthy frigates. The design is truly an affront to space naval architects, exposed machinery covers much of the ship's outer hull and a series of poorly assembled gun emplacements dot its surface.",,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_rosalina_spawner,SHIP_SYSTEM,An autofab capable of producing frigates during combat. Assembled ships are accelerated out of the assembly bay into combat.,,,
sex_prot_five,SHIP,"The Catalyst-class destroyer is an unholy amalgamation built around its built-in 'Ship Cracker.' However, the integrated weapon system lacks any safety interlocks and, once activated, will continue firing until the ship inevitably overloads.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_prot_six,SHIP,"A simple attempt to reduce the delay in the phase teleporter system unsurprisingly led to a rabbit hole of unholy experiments, ultimately resulting in the amalgamation now known as the Aphrodite-class frigate.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_prot_seven,SHIP,"At first glance, the Puppy-class appears to be an up-gunned variant of the Wolf-class frigate. However, its phase skimmer system has been drastically modified. The resulting system briefly projects a superposition of a seemingly random past (or future) design, which acts independently before vanishing back into P-space.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_prot_eight,SHIP,"Once an advanced scientific and military exploration vessel, the Lollipop is now equipped with a massive EMP superarray. While this array boasts an impressive range compared to standard EMP emitters, the eventual feedback from its overcharged capacitors results in a catastrophic acausal failure. The resulting wave overloads not only the host ship but also all ships and fighters in the immediate area.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_prot_nine,SHIP,"The ammo feeder system from the classic Martinet-class destroyer has been permanently integrated. Coupled with a wide array of upsized mounts, the newly christened Desperado-class boasts formidable frontal firepower—at least until its overtaxed ammo feeder inevitably fails.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
sex_damper,SHIP_SYSTEM,A variant of the Damper Field system that briefly activates an energy field that mitigates incoming damage with no effect on overall ship performance.,Offensive,,
sex_ship_pod,WEAPON,"""It could work without an interface, yes, but there's no telling what comes out of that autofab. It's got a mind, almost. Like a child. That's the only way I can describe it. It's got a child's mind. We tried to fix some of its quirks, but it just, stopped every time. I think it knows.""",- Verbal report from your chief engineer,,
sex_temporal,SHIP_SYSTEM,"Significantly speeds up the flow of time on board the ship, effectively stopping time.",Offensive,,
sex_prot_laser,WEAPON,"""We couldn't find any breakers, can't make it stop once it gets going, no. Takes the whole flux grid out when it happens too. Engines, everything. It's a scramble to get the ship going again.""",- Verbal report from your chief engineer,,
sex_phaseteleporter,SHIP_SYSTEM,"The ship instantly, if a bit inaccurately, teleports to any desired point in space.",Movement,The ship instantly teleports to any desired nearby location.,
sex_buoy,SHIP,"Light, unarmored drones equipped ECM bouncers and little else.",,,
sex_gryphon_LG,SHIP,So what if the Gryphon's hull-integrated missile nanoforge can't be loaded fast enough to keep up with the conveyors? Just remove the whole damn thing and use the new-found space for additional missile storage! Does it really matter that the conveyors are straining to keep the missiles loaded in time? It's not like the official reports are going to say anything about it.,,,
sex_swarmer,WEAPON,"A late-Expansion Epoch adaptation of the Swarmer SRM, this long-range missile battery fires salvos of small, guided missiles. Deadly against small craft and unshielded targets. An auxiliary microfab allows this weapon to keep itself supplied in battle.",,,
star_purple,PLANET,"An artifical I-type supergiant. The lilac hue this star casts on the surrounding system is a testament to its artificial origin. This beating fusion heart bears strong similarities to natural O-type blue supergiants, and it is believed to have been a blue supergiant once. Existence of such stars makes one think of the time before the Collapse, when such wonders were the norm, and the technological ability to toy with suns was not beyond the reach of man, and makes one wonder just what other ancient marvels may yet exist, if only one knew where to look.
",,,
sex_emp,SHIP_SYSTEM,"The system charges up, releasing an EMP arc over a massive area. Once the capacitors reach full capacity, a supercharged burst from the EMP superarray overloads every ship and fighter in the vicinity—including itself and any nearby allies.",,,
